video_id,sid_1,sid_2,sid_3,sid_4
117,13,17,2,6
118,18,28,11,2
119,16,6,11,31
120,7,6,16,22
121,9,15,3,26
122,13,2,7,6
123,9,3,4,5
124,25,30,28,24
125,1,25,18,3
126,1,21,1,10
127,7,26,22,30
128,6,1,28,22
129,20,31,2,31
130,20,9,10,15
131,31,19,14,6
132,12,6,17,16
133,20,10,3,28
134,18,28,7,11
135,12,0,20,30
136,8,13,27,21
137,24,24,23,25
138,11,3,18,14
139,8,26,5,26
140,29,13,16,11
141,3,25,11,15
142,14,9,17,11
143,16,27,31,31
144,11,0,4,10
145,7,1,22,2
146,8,13,10,18
147,0,11,6,7
148,9,0,18,21
149,3,3,22,30
150,13,11,22,24
151,20,25,27,1
152,25,0,10,17
153,18,6,30,16
154,11,12,19,23
155,18,28,4,12
156,12,11,4,12
157,16,3,13,4
158,20,24,17,17
159,12,20,6,14
160,17,16,22,22
161,9,3,30,21
162,31,18,23,11
163,9,15,24,6
164,27,18,13,0
165,14,9,14,14
166,13,6,13,6
167,7,10,2,17
168,16,21,17,15
169,19,4,29,17
170,28,10,0,3
171,14,27,16,4
172,7,9,0,30
173,13,11,24,8
174,25,30,31,18
175,9,2,7,28
176,22,27,0,21
177,14,1,16,10
178,3,0,14,11
179,1,14,12,31
180,1,19,1,12
181,12,19,17,7
182,13,3,28,11
183,22,12,7,29
184,0,25,5,12
185,2,31,0,8
186,8,13,15,1
187,24,6,28,26
188,19,0,14,14
189,0,9,13,0
190,16,7,16,6
191,18,28,8,9
192,20,3,29,19
193,14,13,0,14
194,31,18,16,0
195,8,10,19,0
196,20,0,31,28
197,2,20,22,8
198,31,26,28,29
199,31,13,24,16
200,9,10,16,21
201,7,25,28,24
202,0,25,18,28
203,26,6,10,24
204,2,4,9,3
205,31,22,8,13
206,25,13,15,16
207,11,13,15,23
208,22,6,21,9
209,9,30,24,29
210,8,30,31,19
211,18,7,28,6
212,9,28,4,25
213,13,13,16,24
214,24,28,1,31
215,22,16,1,10
216,15,26,4,14
217,25,7,12,17
218,5,21,0,26
219,7,20,17,8
220,14,31,2,16
221,12,26,4,24
222,14,27,6,29
223,18,7,15,21
224,13,3,6,1
225,7,18,5,31
226,14,12,7,4
227,3,31,29,2
228,31,26,7,19
229,3,14,10,12
230,9,28,24,18
231,26,2,4,30
232,14,1,3,1
233,25,0,10,31
234,9,7,28,18
235,25,30,8,30
236,18,30,13,25
237,0,21,18,0
238,1,3,3,3
239,21,8,7,25
240,12,0,4,6
241,15,9,7,4
242,19,14,1,22
243,13,4,20,15
244,18,28,11,28
245,18,28,10,26
246,5,30,0,19
247,30,9,16,7
248,24,7,10,22
249,3,10,16,18
250,3,25,23,1
251,25,22,15,17
252,11,26,16,24
253,20,10,1,0
254,17,6,11,11
255,0,10,1,17
256,14,9,17,12
257,28,0,22,1
258,13,27,13,22
259,17,9,17,17
260,3,3,8,15
261,27,21,11,15
262,5,0,15,2
263,19,1,7,18
264,24,8,12,14
265,8,9,0,19
266,24,6,18,19
267,16,9,18,15
268,23,0,17,19
269,14,7,14,1
270,26,15,7,17
271,6,9,16,14
272,17,31,22,0
273,9,9,23,21
274,14,16,20,23
275,27,0,4,12
276,14,9,6,13
277,7,31,28,12
278,31,24,4,19
279,23,14,14,28
280,24,19,4,24
281,12,19,3,5
282,1,27,28,17
283,8,9,5,26
284,18,5,23,22
285,12,8,14,16
286,25,5,5,31
287,31,14,26,21
288,18,5,7,18
289,14,20,17,11
290,9,26,15,0
291,11,19,5,5
292,15,19,17,29
293,9,7,5,3
294,0,24,22,31
295,1,10,29,14
296,25,24,14,2
297,20,1,11,29
298,9,28,8,25
299,17,26,4,14
300,4,8,25,22
301,1,14,21,29
302,15,28,18,31
303,0,3,6,2
304,13,9,8,24
305,1,10,5,9
306,0,20,17,9
307,11,24,26,1
308,16,13,7,18
309,14,15,12,11
310,14,27,10,1
311,22,5,24,9
312,4,24,21,2
313,0,19,17,28
314,5,18,12,17
315,12,8,28,5
316,3,0,6,5
317,3,9,31,25
318,8,25,15,22
319,9,24,28,6
320,25,24,18,9
321,24,6,31,26
322,12,4,2,2
323,7,22,12,6
324,2,8,29,26
325,18,10,8,26
326,9,20,0,28
327,0,2,5,4
328,9,16,7,15
329,26,27,26,23
330,21,0,19,22
331,11,13,5,2
332,5,3,15,26
333,21,0,7,6
334,15,20,31,21
335,1,30,28,28
336,26,22,14,1
337,14,2,11,6
338,11,21,8,2
339,26,7,1,3
340,6,5,16,12
341,24,5,1,26
342,31,10,18,12
343,25,9,30,19
344,17,27,12,25
345,15,10,7,19
346,18,28,11,5
347,14,6,17,15
348,6,4,9,2
349,0,26,5,29
350,3,4,13,22
351,24,1,14,11
352,0,15,8,29
353,19,28,18,1
354,16,3,17,0
355,8,2,22,15
356,8,25,10,21
357,26,3,29,21
358,18,2,5,26
359,20,24,17,19
360,23,1,4,1
361,8,9,28,31
362,7,22,16,18
363,24,14,31,25
364,15,13,10,2
365,4,31,22,4
366,1,31,8,0
367,3,20,23,31
368,2,26,3,10
369,9,2,13,1
370,13,31,19,10
371,20,21,23,18
372,9,20,0,15
373,15,10,31,26
374,3,9,6,0
375,31,21,15,30
376,24,25,0,5
377,15,31,18,30
378,26,24,13,31
379,8,3,4,16
380,22,6,4,5
381,13,0,3,11
382,16,21,4,12
383,1,0,14,0
384,13,6,24,31
385,13,15,18,6
386,14,8,31,3
387,8,2,11,31
388,26,18,11,18
389,21,26,16,11
390,13,23,29,8
391,13,20,19,13
392,26,9,10,15
393,1,8,2,3
394,6,23,26,24
395,22,18,14,26
396,11,8,13,30
397,22,6,2,26
398,9,2,30,15
399,0,21,4,18
400,7,31,14,10
401,3,30,28,17
402,28,12,17,5
403,17,18,1,6
404,15,19,30,14
405,11,26,2,10
406,13,16,26,0
407,31,14,17,22
408,2,16,24,8
409,11,12,28,9
410,11,9,1,29
411,25,24,14,4
412,5,0,2,28
413,0,31,14,21
414,8,28,15,9
415,25,19,13,11
416,0,30,6,17
417,24,0,3,24
418,24,7,4,26
419,12,18,12,17
420,22,31,8,16
421,22,9,31,1
422,25,26,3,3
423,20,5,23,15
424,13,6,10,1
425,12,9,4,23
426,5,25,14,31
427,19,30,27,17
428,25,15,5,11
429,11,0,17,0
430,7,13,3,10
431,23,6,30,0
432,1,20,1,10
433,11,28,7,29
434,8,6,27,4
435,16,10,0,0
436,1,24,8,1
437,19,1,14,27
438,18,15,31,26
439,27,31,23,0
440,13,2,0,8
441,18,28,7,23
442,9,10,10,3
443,27,14,11,19
444,11,7,23,26
445,29,26,16,8
446,13,28,3,16
447,25,25,28,21
448,19,10,17,11
449,5,5,28,17
450,3,31,24,15
451,18,25,11,15
452,20,18,23,14
453,29,1,25,25
454,1,31,4,0
455,9,26,24,10
456,24,22,3,15
457,12,1,21,2
458,20,18,14,2
459,16,15,22,26
460,31,28,15,9
461,31,31,17,24
462,17,2,18,22
463,25,19,11,11
464,8,25,10,17
465,3,5,15,31
466,8,25,27,12
467,9,0,31,19
468,13,10,30,13
469,8,8,8,24
470,8,13,7,21
471,11,25,11,15
472,8,2,24,3
473,6,23,21,4
474,28,1,19,0
475,15,2,4,1
476,7,10,4,19
477,5,25,27,0
478,25,25,3,31
479,8,26,18,31
480,18,6,11,16
481,15,13,30,31
482,3,5,23,18
483,13,12,28,0
484,24,0,14,24
485,0,9,11,21
486,11,13,4,12
487,4,4,21,22
488,18,0,30,3
489,29,4,9,30
490,27,20,16,23
491,18,2,7,21
492,6,16,16,2
493,12,18,29,10
494,9,31,24,24
495,0,10,28,17
496,22,24,12,2
497,15,28,4,29
498,0,15,3,1
499,11,0,7,18
500,2,12,14,16
501,14,10,1,25
502,24,14,5,11
503,24,5,16,3
504,31,22,30,26
505,3,2,23,9
506,11,16,4,0
507,27,26,12,18
508,11,0,7,9
509,31,25,18,29
510,13,1,14,3
511,8,6,14,31
512,20,15,4,4
513,18,0,3,19
514,11,6,29,26
515,0,1,8,3
516,27,12,0,19
517,0,0,23,19
518,22,7,28,18
519,11,21,11,12
520,14,25,16,3
521,3,19,16,1
522,28,4,12,10
523,26,9,3,29
524,7,26,4,14
525,25,30,30,16
526,2,27,9,24
527,13,29,19,9
528,26,28,18,3
529,8,6,27,31
530,4,10,21,25
531,2,6,2,3
532,31,18,12,0
533,3,1,24,31
534,21,29,29,6
535,22,4,13,6
536,11,15,8,21
537,6,6,4,8
538,0,1,14,30
539,22,9,7,14
540,18,28,24,22
541,8,10,27,2
542,31,30,7,13
543,13,2,4,2
544,15,13,27,19
545,3,9,7,15
546,9,0,14,17
547,9,14,17,6
548,20,24,31,17
549,7,19,0,13
550,13,15,30,2
551,12,6,23,12
552,14,8,20,19
553,18,0,31,17
554,27,4,1,2
555,0,0,18,31
556,26,0,24,10
557,0,14,17,0
558,12,20,12,12
559,14,15,26,18
560,18,9,1,21
561,18,24,30,28
562,17,13,0,3
563,12,5,8,30
564,20,19,15,19
565,11,14,4,6
566,3,28,8,4
567,19,0,27,18
568,31,15,15,4
569,20,0,0,10
570,0,13,28,23
571,9,6,24,19
572,18,15,30,15
573,25,22,22,31
574,8,26,0,21
575,21,18,12,8
576,0,14,23,22
577,13,6,8,23
578,19,4,26,30
579,18,28,7,6
580,22,26,24,16
581,31,5,28,10
582,31,18,17,18
583,1,24,18,10
584,16,25,12,5
585,22,5,23,28
586,26,2,5,26
587,12,12,15,1
588,9,20,2,28
589,7,7,0,3
590,31,3,18,26
591,15,10,3,6
592,31,15,23,21
593,26,2,24,25
594,16,31,10,13
595,11,17,1,5
596,16,31,23,31
597,29,11,25,10
598,15,18,27,18
599,7,16,2,14
600,26,28,30,5
601,0,14,8,17
602,28,10,29,29
603,31,6,10,1
604,20,2,11,4
605,2,0,21,13
606,16,2,5,19
607,14,19,18,24
608,13,20,18,17
609,25,6,5,28
610,27,1,11,11
611,23,9,27,25
612,26,9,17,21
613,11,0,13,0
614,3,28,29,29
615,25,19,10,4
616,22,6,5,30
617,13,8,2,1
618,3,10,1,26
619,18,19,1,4
620,19,0,21,21
621,15,10,31,28
622,0,25,26,21
623,16,5,1,23
624,25,21,7,0
625,22,31,13,11
626,30,29,14,7
627,29,18,20,8
628,20,20,28,26
629,24,22,4,26
630,20,10,12,19
631,23,12,14,14
632,9,9,24,12
633,1,0,28,31
634,9,15,11,15
635,18,28,11,9
636,8,8,16,19
637,18,18,30,26
638,14,18,16,4
639,3,4,11,21
640,26,30,28,28
641,18,22,17,17
642,6,11,9,10
643,11,12,28,12
644,24,2,7,18
645,28,8,17,24
646,25,9,10,15
647,29,8,25,30
648,24,7,1,0
649,3,19,30,26
650,2,8,2,29
651,3,27,11,0
652,13,3,22,16
653,24,1,8,28
654,5,24,14,4
655,2,31,1,7
656,25,18,3,25
657,6,31,20,8
658,21,28,30,2
659,25,6,31,1
660,13,7,17,15
661,3,6,6,26
662,16,10,5,10
663,0,28,28,24
664,29,16,2,23
665,14,19,29,7
666,24,1,5,5
667,12,5,4,6
668,31,24,23,6
669,12,25,16,23
670,3,26,25,1
671,20,5,30,28
672,26,30,9,3
673,8,6,0,19
674,24,1,8,17
675,18,15,18,26
676,25,6,10,29
677,18,15,31,0
678,12,2,24,18
679,1,26,2,29
680,3,26,7,28
681,14,20,28,18
682,17,26,22,18
683,3,6,24,15
684,20,24,4,11
685,16,19,16,19
686,26,8,11,11
687,25,14,30,26
688,31,28,31,6
689,21,12,0,19
690,7,11,30,8
691,9,31,30,2
692,12,18,1,3
693,20,19,3,30
694,25,7,7,15
695,31,30,15,6
696,8,24,17,9
697,14,7,6,25
698,8,22,7,1
699,17,5,29,25
700,7,3,7,19
701,8,14,24,16
702,3,25,31,25
703,13,11,14,9
704,9,30,3,15
705,7,20,10,29
706,6,27,21,5
707,31,6,7,26
708,16,14,18,29
709,18,25,14,21
710,7,27,0,30
711,2,11,21,3
712,24,22,14,11
713,20,22,30,18
714,1,9,4,6
715,20,7,18,15
716,14,31,14,18
717,9,30,6,21
718,7,10,14,25
719,24,31,23,5
720,11,8,8,29
721,9,15,3,4
722,14,5,6,25
723,3,25,24,15
724,3,24,14,12
725,9,28,15,6
726,1,21,15,18
727,3,6,30,15
728,28,6,22,1
729,18,30,15,28
730,5,24,27,19
731,20,20,8,0
732,31,18,11,10
733,31,28,2,0
734,13,25,17,2
735,0,13,22,2
736,25,6,18,21
737,31,18,17,3
738,22,5,3,5
739,27,3,17,26
740,0,20,14,24
741,27,5,10,14
742,9,7,31,4
743,9,7,14,30
744,24,27,23,24
745,12,14,21,2
746,9,15,8,22
747,12,22,25,23
748,4,29,26,22
749,0,15,11,10
750,11,6,0,1
751,0,30,4,18
752,19,7,26,18
753,25,28,5,12
754,25,22,18,26
755,25,28,24,24
756,8,15,17,22
757,31,9,24,26
758,12,7,14,12
759,26,18,23,18
760,12,14,6,30
761,8,3,28,4
762,15,25,1,5
763,31,22,18,17
764,8,0,10,11
765,8,20,3,19
766,31,28,24,25
767,16,20,11,22
768,18,7,8,21
769,30,11,0,7
770,16,19,13,11
771,16,30,24,3
772,27,0,24,4
773,9,15,28,17
774,3,26,12,26
775,25,5,14,21
776,9,0,1,1
777,24,5,23,24
778,24,20,23,4
779,25,5,5,10
780,6,4,2,29
781,31,30,24,26
782,3,24,14,3
783,8,24,18,22
784,0,28,18,3
785,8,26,14,1
786,24,9,6,17
787,24,0,26,31
788,9,7,17,6
789,11,11,2,1
790,10,17,19,20
791,2,3,15,28
792,2,26,2,2
793,3,15,11,17
794,16,21,1,29
795,8,24,10,26
796,4,10,15,2
797,25,30,23,4
798,25,5,28,26
799,9,0,14,24
800,3,25,5,26
801,8,22,27,1
802,20,31,11,17
803,8,14,0,16
804,1,12,7,31
805,15,10,27,3
806,0,6,18,12
807,4,4,26,6
808,9,6,15,18
809,27,20,13,4
810,25,19,4,26
811,12,8,16,23
812,9,0,17,14
813,25,25,28,21
814,20,24,10,10
815,3,22,22,18
816,26,28,23,4
817,0,25,16,18
818,24,22,23,30
819,11,11,16,17
820,7,10,18,21
821,16,21,3,6
822,1,14,12,6
823,16,18,18,18
824,31,24,23,4
825,15,20,23,17
826,9,10,26,28
827,3,27,7,1
828,1,10,4,26
829,15,6,27,4
830,16,12,9,17
831,25,28,11,25
832,16,18,26,2
833,11,25,10,1
834,22,22,14,18
835,11,24,16,22
836,26,22,31,3
837,31,5,3,3
838,8,25,23,30
839,13,14,11,8
840,25,7,8,19
841,1,24,16,9
842,24,8,13,25
843,7,13,22,31
844,25,5,15,31
845,25,24,4,1
846,27,11,13,31
847,25,24,10,26
848,3,13,31,24
849,3,1,1,3
850,11,15,6,26
851,13,13,17,28
852,27,19,4,22
853,11,30,29,31
854,5,25,30,16
855,20,18,27,16
856,9,25,7,28
857,9,30,13,0
858,11,22,6,5
859,12,2,19,24
860,16,13,4,22
861,3,14,28,21
862,8,25,18,17
863,16,3,22,9
864,0,12,2,21
865,16,20,1,17
866,24,19,3,24
867,25,14,3,15
868,7,0,17,3
869,24,5,2,10
870,24,20,3,28
871,14,31,10,2
872,25,13,18,16
873,13,10,1,5
874,31,15,11,18
875,18,14,17,5
876,19,8,26,22
877,31,10,24,31
878,14,8,3,5
879,9,2,16,16
880,3,25,24,15
881,24,10,23,19
882,18,5,15,24
883,18,5,18,30
884,27,0,14,2
885,20,22,10,31
886,14,19,20,2
887,26,18,3,26
888,31,24,23,28
889,5,24,28,17
890,4,9,21,2
891,11,2,21,17
892,25,22,7,21
893,31,3,28,14
894,24,19,22,9
895,11,1,2,28
896,9,25,23,28
897,6,2,9,1
898,13,10,11,15
899,5,4,3,12
900,8,18,15,31
901,25,28,11,17
902,11,31,23,2
903,0,2,16,29
904,11,7,14,16
905,24,22,23,28
906,4,16,27,17
907,31,13,14,14
908,28,16,2,14
909,17,18,1,31
910,1,28,3,0
911,12,13,0,0
912,14,13,30,23
913,2,21,21,6
914,25,28,30,6
915,3,30,12,15
916,15,9,0,4
917,20,18,15,25
918,1,10,26,30
919,16,7,6,16
920,16,10,14,10
921,18,5,11,3
922,11,6,14,22
923,14,21,1,26
924,27,2,2,9
925,0,22,15,1
926,11,0,29,31
927,3,30,2,12
928,25,10,17,4
929,3,0,17,15
930,31,6,10,25
931,26,30,7,22
932,18,10,14,5
933,25,7,28,16
934,16,13,26,11
935,25,30,28,31
936,11,18,11,18
937,15,13,16,31
938,25,22,24,22
939,1,21,10,29
940,17,16,3,30
941,3,4,28,0
942,18,28,4,15
943,27,22,28,19
944,26,3,17,21
945,4,12,7,0
946,18,6,18,22
947,6,11,6,17
948,6,12,29,7
949,19,8,27,9
950,7,31,11,19
951,25,25,7,1
952,8,22,23,14
953,9,26,15,18
954,11,28,31,23
955,24,15,11,16
956,22,25,29,21
957,25,10,4,29
958,25,9,7,21
959,18,19,7,3
960,31,3,14,3
961,2,11,20,10
962,15,11,31,12
963,11,28,0,12
964,7,2,20,10
965,25,6,11,31
966,9,15,31,28
967,15,26,31,19
968,25,30,7,18
969,2,29,9,27
970,15,24,23,11
971,31,25,18,28
972,22,6,10,17
973,12,16,16,2
974,25,3,1,24
975,20,19,15,30
976,25,26,14,29
977,12,31,29,7
978,17,14,2,14
979,11,28,17,12
980,24,6,18,12
981,3,15,0,6
982,13,18,4,4
983,14,11,14,7
984,5,0,10,24
985,2,2,7,10
986,9,10,4,0
987,0,31,1,16
988,1,19,29,13
989,8,3,7,28
990,12,6,16,17
991,9,10,6,30
992,19,18,27,2
993,31,6,31,6
994,25,6,15,24
995,22,28,1,3
996,15,27,24,16
997,8,25,4,10
998,26,22,5,22
999,14,2,2,7
1000,18,25,26,26
1001,8,30,0,25
1002,22,22,14,18
1003,9,11,22,21
1004,9,2,26,21
1005,24,25,18,15
1006,22,16,2,15
1007,1,27,16,14
1008,0,30,31,10
1009,22,20,21,25
1010,7,13,6,3
1011,25,15,17,12
1012,4,16,22,9
1013,24,15,7,5
1014,16,9,2,22
1015,1,8,17,11
1016,16,31,24,18
1017,25,9,11,12
1018,13,26,14,10
1019,24,21,15,15
1020,13,5,28,15
1021,27,28,7,11
1022,16,14,3,3
1023,1,5,29,24
1024,26,30,5,18
1025,5,3,14,29
1026,25,24,10,11
1027,31,0,0,11
1028,6,6,24,2
1029,18,9,31,16
1030,4,6,30,6
1031,9,10,23,28
1032,9,26,18,18
1033,28,16,2,14
1034,4,6,26,11
1035,22,14,28,17
1036,8,8,8,6
1037,3,15,17,15
1038,12,15,8,9
1039,23,11,27,30
1040,24,15,8,17
1041,3,19,18,12
1042,25,28,18,28
1043,26,5,31,15
1044,19,31,27,30
1045,21,17,20,16
1046,7,14,27,28
1047,1,25,11,5
1048,18,1,31,29
1049,17,31,0,13
1050,11,0,16,11
1051,12,1,21,18
1052,13,30,22,25
1053,25,20,7,26
1054,22,10,3,0
1055,3,31,24,24
1056,17,16,29,18
1057,9,0,7,29
1058,2,3,0,8
1059,22,1,1,31
1060,1,25,16,28
1061,16,21,1,16
1062,1,3,2,9
1063,0,31,26,14
1064,6,11,9,1
1065,1,10,14,30
1066,26,2,7,6
1067,13,13,7,12
1068,14,26,21,2
1069,14,30,29,17
1070,31,26,15,26
1071,24,20,23,11
1072,26,18,31,3
1073,11,22,6,14
1074,20,18,4,1
1075,14,13,16,30
1076,9,28,6,17
1077,5,10,8,22
1078,31,28,24,0
1079,5,22,15,22
1080,7,26,0,31
1081,16,27,30,13
1082,15,21,18,26
1083,7,13,27,31
1084,27,1,1,3
1085,16,10,31,12
1086,9,24,11,1
1087,0,2,10,16
1088,9,22,0,5
1089,2,21,22,23
1090,22,0,29,5
1091,26,6,18,17
1092,16,27,16,17
1093,26,28,11,11
1094,11,28,4,11
1095,31,10,4,31
1096,11,0,14,11
1097,27,19,29,19
1098,20,3,22,18
1099,18,28,17,21
1100,1,20,26,1
1101,16,3,2,3
1102,15,15,27,28
1103,2,12,8,8
1104,18,10,14,15
1105,9,25,12,24
1106,15,25,27,31
1107,20,27,15,31
1108,12,8,0,30
1109,27,28,24,9
1110,14,21,1,23
1111,24,6,5,11
1112,20,10,31,6
1113,24,1,12,2
1114,16,0,24,18
1115,1,7,2,24
1116,18,25,23,31
1117,8,30,7,28
1118,16,24,7,10
1119,8,22,11,19
1120,25,22,24,15
1121,24,6,18,14
1122,17,11,7,19
1123,16,6,22,18
1124,25,10,11,9
1125,9,20,28,18
1126,31,0,5,21
1127,4,17,25,2
1128,1,16,22,25
1129,22,27,16,4
1130,28,31,19,4
1131,7,11,19,17
1132,11,26,24,31
1133,14,14,2,14
1134,17,20,30,1
1135,9,20,14,15
1136,11,11,22,24
1137,26,0,3,26
1138,25,28,17,18
1139,8,24,13,22
1140,16,2,18,11
1141,25,5,3,26
1142,12,31,19,0
1143,21,19,7,10
1144,12,0,17,12
1145,8,24,10,26
1146,7,3,0,16
1147,3,30,23,18
1148,31,9,14,31
1149,8,22,5,12
1150,25,5,3,15
1151,9,7,11,6
1152,27,4,1,26
1153,19,4,4,12
1154,13,24,28,30
1155,18,0,5,28
1156,25,2,4,28
1157,6,0,20,10
1158,25,6,30,10
1159,15,15,1,4
1160,15,8,8,22
1161,3,6,14,17
1162,1,18,7,18
1163,12,2,0,16
1164,2,1,20,10
1165,11,28,3,12
1166,3,31,5,4
1167,9,22,17,11
1168,24,2,13,14
1169,12,27,13,23
1170,31,13,1,9
1171,31,30,13,13
1172,26,22,11,21
1173,7,31,0,16
1174,11,18,31,14
1175,22,31,2,25
1176,28,13,29,18
1177,5,26,31,18
1178,1,25,12,22
1179,9,28,24,21
1180,26,10,18,26
1181,18,15,31,29
1182,8,13,11,19
1183,1,3,20,3
1184,29,4,9,23
1185,20,31,13,17
1186,15,27,1,0
1187,20,6,1,25
1188,11,7,21,4
1189,4,12,21,8
1190,9,30,10,6
1191,4,8,1,4
1192,18,30,22,21
1193,5,22,31,28
1194,0,22,28,1
1195,3,1,5,3
1196,5,28,17,12
1197,26,22,15,26
1198,8,15,23,30
1199,18,6,2,1
1200,2,1,3,21
1201,20,25,28,14
1202,16,5,15,26
1203,16,25,18,30
1204,25,14,5,6
1205,3,2,30,17
1206,14,21,13,9
1207,25,9,11,17
1208,26,0,15,26
1209,8,25,15,6
1210,24,0,14,31
1211,9,25,30,11
1212,17,2,11,24
1213,25,25,17,29
1214,24,25,11,16
1215,0,6,14,29
1216,6,29,8,29
1217,6,6,16,5
1218,24,1,12,22
1219,0,9,6,24
1220,16,9,10,6
1221,3,1,12,15
1222,9,25,13,11
1223,3,22,18,10
1224,9,3,18,21
1225,14,0,1,4
1226,3,15,31,21
1227,3,15,13,15
1228,24,11,8,1
1229,31,18,18,30
1230,12,21,13,15
1231,23,20,10,2
1232,9,25,18,4
1233,28,12,12,18
1234,15,3,1,3
1235,0,31,1,16
1236,11,0,19,24
1237,13,7,24,31
1238,13,3,3,31
1239,9,9,11,28
1240,25,13,12,14
1241,1,2,15,10
1242,8,31,27,19
1243,18,25,24,26
1244,25,3,11,30
1245,18,18,31,26
1246,12,15,21,18
1247,19,10,22,10
1248,15,30,4,14
1249,16,20,3,1
1250,0,24,18,14
1251,8,0,3,19
1252,22,26,6,12
1253,12,0,19,12
1254,9,28,8,22
1255,18,28,30,26
1256,8,18,30,18
1257,0,12,18,21
1258,25,2,7,4
1259,11,31,11,12
1260,31,24,5,19
1261,11,22,4,24
1262,11,21,3,16
1263,18,21,3,26
1264,4,6,29,8
1265,22,11,4,8
1266,31,5,11,31
1267,25,6,26,26
1268,6,1,13,24
1269,20,19,27,5
1270,3,7,13,5
1271,21,9,17,19
1272,3,28,23,6
1273,11,8,8,25
1274,16,15,18,0
1275,25,31,3,26
1276,11,1,6,0
1277,8,3,30,16
1278,26,18,2,12
1279,1,22,31,12
1280,6,29,9,7
1281,23,28,5,15
1282,14,21,7,19
1283,15,10,8,5
1284,16,14,18,12
1285,29,3,3,8
1286,19,10,7,22
1287,18,21,28,28
1288,27,26,29,12
1289,8,25,23,22
1290,5,10,10,18
1291,0,30,15,6
1292,24,24,15,11
1293,13,21,14,9
1294,3,1,4,6
1295,11,31,4,31
1296,24,24,0,5
1297,19,21,27,24
1298,1,20,4,22
1299,28,19,18,24
1300,0,1,23,3
1301,0,28,10,5
1302,6,11,26,7
1303,27,4,2,21
1304,19,28,29,23
1305,3,22,1,9
1306,9,10,7,1
1307,25,22,5,28
1308,2,5,19,29
1309,26,10,23,26
1310,15,2,17,4
1311,0,28,26,23
1312,15,25,27,17
1313,31,18,13,26
1314,7,19,17,25
1315,31,22,14,5
1316,0,20,2,0
1317,9,15,1,26
1318,22,2,4,15
1319,31,15,23,4
1320,26,3,12,26
1321,1,18,4,24
1322,0,2,26,2
1323,2,18,22,8
1324,18,18,31,1
1325,24,25,14,26
1326,16,13,23,28
1327,18,6,11,31
1328,24,15,7,15
1329,15,24,4,16
1330,31,25,30,26
1331,24,2,10,2
1332,4,4,22,14
1333,31,5,7,15
1334,26,2,24,25
1335,16,26,31,16
1336,22,22,18,14
1337,16,31,16,24
1338,13,3,12,9
1339,20,24,7,10
1340,29,29,2,1
1341,0,6,17,31
1342,9,6,31,0
1343,28,14,3,0
1344,1,13,17,12
1345,0,30,5,13
1346,22,6,8,15
1347,15,2,5,30
1348,16,14,14,10
1349,20,27,3,9
1350,14,19,14,9
1351,5,26,10,18
1352,3,6,17,21
1353,24,15,24,25
1354,5,2,27,30
1355,16,27,3,26
1356,26,22,11,18
1357,31,15,31,11
1358,18,15,3,22
